ID,ParameterA,ParameterB,ParameterC,ParameterD,ParameterE,ParameterF,ParameterY
60,0.973,0.651,0.805,0.96,0.642,0.947,0.98
61,0.834,0.692,0.58,0.253,0.866,0.651,0.83
62,0.826,0.843,0.516,0.745,0.873,0.888,0.9
63,0.507,0.111,0.643,0.208,0.541,0.93,0.52
64,0.86,0.839,0.32,0.457,0.15,0.936,0.65
65,0.887,0.83,0.581,0.129,0.893,0.924,0.92
66,0.986,0.697,0.865,0.717,0.747,0.872,0.98
67,0.856,0.9,0.233,0.61,0.843,0.938,0.89
68,0.371,0.002,0.996,0.996,0.223,0.586,0.67
69,0.076,0.003,0.986,0.999,0.227,0.586,0.52
70,0.13,0.096,0.849,0.624,0.416,0.371,0.33
71,0.94,0.54,0.973,0.997,0.231,0.374,0.91
72,0.115,0.105,0.523,0.992,0.225,0.358,0.27
73,0.066,0,0.535,0.95,0.222,0.586,0.13
74,0.763,0.733,0.921,0.998,0.229,0.741,0.95
75,0.149,0.066,0.564,0.531,0.312,0.359,0.15
76,0.042,0.209,0.642,0.976,0.224,0.373,0.3
77,0.424,0.226,0.582,0.99,0.223,0.586,0.57
78,0.053,0.02,0.783,0.918,0.298,0.374,0.22
79,0.359,0.327,0.472,0.912,0.258,0.59,0.46
80,0.272,0.373,0.713,0.928,0.299,0.377,0.45
81,0.238,0.252,0.942,0.982,0.314,0.374,0.63
82,0.999,0.728,0.954,0.997,0.222,0.586,0.98
83,0.883,0.658,0.847,0.993,0.221,0.586,0.9
84,0.429,0.199,0.565,0.44,0.289,0.377,0.27
85,0.893,0.571,0.934,0.999,0.225,0.839,0.95
86,0.414,0.198,0.843,0.998,0.238,0.586,0.93
87,0.939,0.635,0.905,0.998,0.228,0.586,0.94
88,0.202,0.963,0.84,0.995,0.225,0.586,0.82
89,0.716,0.872,0.613,0.994,0.232,0.586,0.83
90,0.065,0.216,0.784,0.988,0.287,0.377,0.42
91,0.111,0.003,0.468,0.986,0.226,0.586,0.2
92,0.457,0.345,0.818,0.966,0.223,0.359,0.54
93,0.114,0.081,0.59,0.98,0.223,0.586,0.35
94,0.329,0.809,0.776,0.988,0.224,0.586,0.76
95,0.243,0.231,0.866,0.997,0.222,0.586,0.67
96,0.945,0.954,0.803,0.994,0.221,0.368,0.89
97,0.965,0.676,0.971,0.965,0.664,0.68,0.99
98,0.602,0.594,0.903,0.392,0.168,0.446,0.53
99,0.514,0.097,0.839,0.825,0.108,0.255,0.27
100,0.737,0.758,0.749,0.565,0.443,0.501,0.69
